year,state,crop,area,production,yield
2010,Bihar,Barley,11.85,15.7,1324.89
2011,Bihar,Barley,10.83,16.71,1542.94
2012,Bihar,Barley,10.43,15.229999999999999,1460.21
2013,Bihar,Barley,10.16,14.239999999999998,1401.57
2014,Bihar,Barley,12.11,13.43,1109.0
2015,Bihar,Barley,10.690000000000001,13.889999999999999,1299.35
2016,Bihar,Barley,10.83,16.3,1505.08
2017,Bihar,Barley,10.38,16.47,1586.71
2010,Chhattisgarh,Barley,2.25,1.2,533.33
2011,Chhattisgarh,Barley,2.8600000000000003,2.19,765.73
2012,Chhattisgarh,Barley,2.8000000000000003,1.34,478.57
2013,Chhattisgarh,Barley,2.7100000000000004,2.4499999999999997,904.06
2014,Chhattisgarh,Barley,2.52,2.6999999999999997,1071.43
2015,Chhattisgarh,Barley,1.06,0.67,632.08
2016,Chhattisgarh,Barley,2.07,1.88,908.21
2017,Chhattisgarh,Barley,1.88,1.96,1042.55
2010,Haryana,Barley,37.3,130.0,3485.25
2011,Haryana,Barley,41.21,149.0,3615.63
2012,Haryana,Barley,47.730000000000004,167.0,3498.85
2013,Haryana,Barley,39.0,151.0,3871.79
2014,Haryana,Barley,35.0,110.0,3142.86
2015,Haryana,Barley,28.9,99.0,3425.61
2016,Haryana,Barley,20.0,73.0,3650.0
2017,Haryana,Barley,20.19,69.0,3417.53
2010,Himachal Pradesh,Barley,21.240000000000002,25.049999999999997,1179.38
2011,Himachal Pradesh,Barley,21.13,30.060000000000002,1422.62
2012,Himachal Pradesh,Barley,20.83,35.9,1723.48
2013,Himachal Pradesh,Barley,20.59,18.7,908.21
2014,Himachal Pradesh,Barley,20.37,36.47,1790.38
2015,Himachal Pradesh,Barley,19.15,33.59,1754.05
2016,Himachal Pradesh,Barley,19.95,18.13,908.77
2017,Himachal Pradesh,Barley,19.14,33.88,1770.11
2010,Madhya Pradesh,Barley,76.60000000000001,98.7,1288.51
2011,Madhya Pradesh,Barley,80.9,138.3,1709.52
2012,Madhya Pradesh,Barley,80.7,108.58,1345.48
2013,Madhya Pradesh,Barley,83.56,146.92000000000002,1758.26
2014,Madhya Pradesh,Barley,42.0,56.0,1333.33
2015,Madhya Pradesh,Barley,75.0,191.0,2546.67
2016,Madhya Pradesh,Barley,116.10000000000001,384.79,3314.3
2017,Madhya Pradesh,Barley,130.02,431.03,3315.11
2010,Punjab,Barley,12.0,44.0,3666.67
2011,Punjab,Barley,12.0,47.0,3916.67
2012,Punjab,Barley,13.0,47.0,3615.38
2013,Punjab,Barley,12.0,46.0,3833.33
2014,Punjab,Barley,11.0,39.4,3581.82
2015,Punjab,Barley,9.0,33.3,3700.0
2016,Punjab,Barley,8.29,31.499999999999996,3799.76
2017,Punjab,Barley,7.6899999999999995,29.9,3888.17
